node_1,node_2,weight
"""baked-in"" approach",system's notion,
200 topics,assignment,
200 topics,emotion score(t),
200 topics,emotionally charged tweets,
200 topics,empath library,
200 topics,function fi(x),
200 topics,intention v,
200 topics,markov model m,
200 topics,n,
200 topics,pattern wi,
200 topics,sequence length n,
200 topics,set of unary constraints c1,
200 topics,text input ι,
200 topics,topics or emotions v,
200 topics,unary constraint ci,
200 topics,vector em(t),
ability,generation,
ability,intentionality,
ability,pop*,
ability,system,
aesthetic,aesthetic a,
aesthetic,aesthetic standards,
aesthetic,attribute,
aesthetic,autonomy or beliefs,
aesthetic,domain knowledge typicality (q5),
aesthetic,familiarity,
aesthetic,general survey population,
aesthetic,intention,
aesthetic,lyric model,
aesthetic,machine,
aesthetic,music model,
aesthetic,musical subpopulation,
aesthetic,negative connotation,
aesthetic,novelty,
aesthetic,novelty score,
aesthetic,opinion or belief,
aesthetic,pop*,
aesthetic,q12.93,
aesthetic,q8,
aesthetic,sentiments,
aesthetic,song max,
aesthetic,structure model,
aesthetic,style,
aesthetic,topics,
aesthetic,ussurvey avg,
aesthetic,v,
aesthetic a,cognitive process,
aesthetic a,internal representations,
aesthetic a,knowledge representation,
aesthetic a,lead sheet γ,
aesthetic a,pop*,
aesthetic a,problems,
aesthetic a,v,
aesthetic standards,pop*,
aesthetic standards,v,
ai,computational creativity,
ai,creativity,
ai,narrow intelligence tasks,
ai,system,
alignment,chorus,
alignment,length n of the new composition,
alignment,motifs,
alignment,msw-alignment,
alignment,multi-smith-waterman (msw) self-alignment algorithm,
alignment,new composition,
alignment,pop*,
alignment,scoring function,
alignment,sectional form,
alignment,song's length,
alignment,structural alignment,
alignment,threshold,
alignment,viewpoint-specific alignment,
alignment,weights,
artifact,creativity,
artifact,pop*,
artifact,representation,
artifact,best song,
artifact-based and process-based assessments,artificial intelligence,
artifact-based and process-based assessments,attributes,
artifact-based and process-based assessments,characteristics,
artifact-based and process-based assessments,creative,
artifact-based and process-based assessments,creativity,
artifact-based and process-based assessments,creativity characteristics,
artifact-based and process-based assessments,holistic cc,
artifact-based and process-based assessments,music composition system,
artifact-based and process-based assessments,system,
artifact-based evaluation,composition,
artifact-based evaluation,creative,
artifact-based evaluation,evaluation,
artifact-based evaluation,man,
artifact-based evaluation,participant,
artifact-based evaluation,pop*,
artifact-based evaluation,process,
artifact-based evaluation,respondents,
artifact-based evaluation,self-evaluation,
artifact-based evaluation,song,
artifacts,cognitive process,
artifacts,domain knowledge,
artifacts,emotion,
artifacts,generation,
artifacts,intentionality,
artifacts,internal representations,
artifacts,knowledge representation,
artifacts,lead sheet γ,
artifacts,pop*,
artifacts,problems,
artifacts,system,
artificial intelligence,attributes,
artificial intelligence,characteristics,
artificial intelligence,creative,
artificial intelligence,creativity,
artificial intelligence,creativity characteristics,
artificial intelligence,holistic cc,
artificial intelligence,music composition system,
artificial intelligence,system,
assignment,emotion score(t),
assignment,empath library,
assignment,n,
assignment,text input ι,
attribute,autonomy or beliefs,
attribute,domain knowledge typicality (q5),
attribute,familiarity,
attribute,general survey population,
attribute,intention,
attribute,lyric model,
attribute,machine,
attribute,music model,
attribute,musical subpopulation,
attribute,negative connotation,
attribute,novelty,
attribute,novelty score,
attribute,opinion or belief,
attribute,pop*,
attribute,sentiments,
attribute,structure model,
attribute,style,
attributes,characteristics,
attributes,creative,
attributes,creativity characteristics,
attributes,music composition system,
attributes,system,
audio,composition,
audio,evaluation,
audio,participant,
audio,pop*,
audio,song,
audio,description,
auto improvement,autonomy,
autonomy,characteristics of creativity,
autonomy,"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",
autonomy,computational creative systems,
autonomy,computer autonomy,
autonomy,creative,
autonomy,creative system for music composition,
autonomy,creativity,
autonomy,designer,
autonomy,generativity,
autonomy,intention ν,
autonomy,jennings,
autonomy,language and image artifacts,
autonomy,machine learning models,
autonomy,man,
autonomy,mumford and ventura,
autonomy,musicianship,
autonomy,poetry and music,
autonomy,pop music composition,
autonomy,pop*,
autonomy,pop* (pop star),
autonomy,q10,
autonomy,research on human creativity,
autonomy,self-evaluation,
autonomy,structured,
autonomy,structured domain of creativity,
autonomy,structured lyrical lead sheet generation,
autonomy,transformer and large language models,
autonomy,twitter,
autonomy and generativity,computational creativity,
autonomy and generativity,creativity,
autonomy and generativity,system,
autonomy and generativity,foundation models,
autonomy or beliefs,domain knowledge typicality (q5),
autonomy or beliefs,pop*,
autonomy to make decisions,pop*,
autonomy to make decisions,respondents,
believes,creativity,
believes,participants,
believes,familiarity bias,
best song,creativity,
best song,overall rating,
best song,pop*,
best song,representation,
best song,respondents,
bias,computers,
bias,creativity,
bias,participants,
binary constraints,markov models,
binary constraints,pop*,
binary constraints,nhmm n,
boredom,creativity,
boredom,e,
boredom,pop*,
boredom,process,
boredom,survey,
boredom,system,
catchiness,creativity,
catchiness,e,
catchiness,pop*,
catchiness,process,
catchiness,survey,
catchiness,system,
cc systems,computational creativity,
cc systems,creativity,
cc systems,system,
cc systems,research opportunities,
characteristic attribute,creativity,
characteristic attribute,criteria,
characteristic attribute,designers,
characteristic attribute,evaluation,
characteristic attribute,process,
characteristic attribute,success,
characteristic attribute,system,
characteristics,creative,
characteristics,creativity,
characteristics,creativity characteristics,
characteristics,holistic cc,
characteristics,music composition system,
characteristics,system,
characteristics of creativity,creative system for music composition,
characteristics of creativity,machine learning models,
characteristics of creativity,pop* (pop star),
characteristics of creativity,system,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",creativity,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",generativity,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",language and image artifacts,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",poetry and music,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",research on human creativity,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",self-evaluation,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",structured,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",structured domain of creativity,
"characteristics of creativity: generation, knowledge representation, intentionality, aesthetic, domain knowledge, autonomy and self-evaluation",transformer and large language models,
chord structure,lyrics,
chord structure,music,
chord structure,pop*,
chorus,new composition,
chorus,scoring function,
chorus,sectional form,
chorus,structural alignment,
chorus,weights,
cognitive process,generalization,
cognitive process,generative model,
cognitive process,hierarchical bayesian program learning (hbpl) model,
cognitive process,human-level concept models,
cognitive process,internal representations,
cognitive process,knowledge representation,
cognitive process,lead sheet γ,
cognitive process,learned representations,
cognitive process,learning and generation,
cognitive process,lyrics knowledge base,
cognitive process,manually crafted representations,
cognitive process,"models for sampling η, ϕ, ρ, and λ",
cognitive process,music knowledge base,
cognitive process,nhmms,
cognitive process,pop*,
cognitive process,problems,
cognitive process,solving problems,
collective density value,creativity,
collective density value,e,
collective density value,pop*,
collective density value,process,
collective density value,survey,
collective density value,system,
comment,creativity,
comment,pop*,
comment,representation,
composition,description,
composition,evaluation,
composition,global structure,
composition,intention,
composition,lyric,
composition,markov models,
composition,music,
composition,novelty,
composition,participant,
composition,pop*,
composition,pop/rock/show tunes music,
composition,process,
composition,song,
composition,survey,
composition,system,
computational creativity,computational system,
computational creativity,creative characteristics,
computational creativity,creatively creative,
computational creativity,creativity,
computational creativity,emergent property,
computational creativity,evaluation,
computational creativity,foundation models,
computational creativity,narrow intelligence tasks,
computational creativity,research opportunities,
computational creativity,researchers,
computational creativity,system,
computational creativity,systems,
computational system,creativity,
computational system,system,
computer autonomy,creative,
computer autonomy,man,
computer autonomy,pop*,
computer autonomy,self-evaluation,
computers,creativity,
computers,participants,
computers and creativity,pop*,
computers and creativity,respondents,
constrained or non-homogeneous markov models (nhmms),"nhmm n = (n, m, c1)",
constrained or non-homogeneous markov models (nhmms),process of generation,
constrained or non-homogeneous markov models (nhmms),pop*,
creative,creativity,
creative,creativity characteristics,
creative,holistic cc,
creative,humans,
creative,lyric generation,
creative,man,
creative,music composition system,
creative,pop*,
creative,preconceived notion,
creative,process,
creative,self-evaluation,
creative,survey group,
creative,system,
creative artifacts,"nhmm n = (n, m, c1)",
creative artifacts,process of generation,
creative artifacts,generative system,
creative system for music composition,machine learning models,
creative system for music composition,pop music composition,
creative system for music composition,pop* (pop star),
creative system for music composition,self-evaluation,
creative system for music composition,structured lyrical lead sheet generation,
creative system for music composition,twitter,
creatively creative,creativity,
creatively creative,system,
creatively creative,systems,
creativity,creativity characteristics,
creativity,criteria,
creativity,designers,
creativity,e,
creativity,emergent property,
creativity,evaluation,
creativity,external artifact,
creativity,external artifacts,
creativity,familiarity bias,
creativity,foundation models,
creativity,generativity,
creativity,groups,
creativity,individual characteristics,
creativity,intentionality,
creativity,jordanous,
creativity,language and image artifacts,
creativity,lyrics,
creativity,machine,
creativity,modalities,
creativity,music,
creativity,music composition system,
creativity,name,
creativity,narrow intelligence tasks,
creativity,notion of process,
creativity,novelty scores,
creativity,observers,
creativity,participants,
creativity,people,
creativity,poetry and music,
creativity,pop*,
creativity,process,
creativity,r,
creativity,ratings,
creativity,representation,
creativity,research on human creativity,
creativity,research opportunities,
creativity,researchers,
creativity,respondents,
creativity,scores,
creativity,self-evaluation,
creativity,self-evaluation score,
creativity,sing-ability,
creativity,song,
creativity,song max,
creativity,stages,
creativity,structured,
creativity,structured domain of creativity,
creativity,success,
creativity,survey,
creativity,survey avg,
creativity,system,
creativity,systems,
creativity,topics,
creativity,transformer and large language models,
creativity,γ,
creativity characteristics,holistic cc,
creativity characteristics,music composition system,
creativity characteristics,system,
criteria,evaluation,
description,evaluation,
description,participant,
description,pop*,
description,song,
descriptions of production methods,"nhmm n = (n, m, c1)",
descriptions of production methods,process of generation,
designer,pop*,
designers,evaluation,
domain knowledge,emotion,
domain knowledge,empath,
domain knowledge,empath vector,
domain knowledge,euclidean distance,
domain knowledge,generative process,
domain knowledge,lyric knowledge base (lkb),
domain knowledge,music knowledge base (mkb),
domain knowledge,pop*,
domain knowledge,twitter,
domain knowledge typicality (q5),familiarity,
domain knowledge typicality (q5),general survey population,
domain knowledge typicality (q5),intention,
domain knowledge typicality (q5),lyric model,
domain knowledge typicality (q5),machine,
domain knowledge typicality (q5),music model,
